frame,has_target,valid,dim_x,dim_y,min,max,mean,median
2023.07.19 58-23-04_1/5_275.frame,1,1,960,600,58,253,142.81676909722222,141.0
2023.07.19 58-23-04_1/5_340.frame,1,1,960,600,72,255,143.87079166666666,143.0
2023.07.19 58-23-04_1/5_344.frame,1,1,960,600,86,255,144.18144618055555,143.0
2023.07.19 58-23-04_1/5_608.frame,1,1,960,600,72,237,143.33808854166668,142.0
2023.07.19 58-23-04_1/5_627.frame,1,1,960,600,49,255,142.24897395833332,141.0
2023.07.19 58-23-04_1/5_726.frame,1,1,960,600,55,255,144.23032118055556,143.0
2023.07.19 58-23-04_1/5_734.frame,1,1,960,600,59,248,144.58266493055555,144.0
2023.07.19 58-23-04_1/5_769.frame,1,1,960,600,50,255,141.94396006944444,141.0
2023.07.19 58-23-04_1/5_849.frame,1,1,960,600,69,255,142.398234375,141.0
2023.07.19 58-23-04_1/t6_dist_1_frame_180-test.frame,1,1,960,600,6,255,90.06773958333333,90.0
2023.07.19 58-23-04_1/t6_dist_1_frame_208.frame,1,1,960,600,1,255,88.17705902777777,88.0
2023.07.19 58-23-04_1/0/4_110.frame,1,1,960,600,32,255,130.03840451388888,128.0
2023.07.19 62-23-04_1/5_472.frame,1,1,960,600,67,255,145.37022395833333,145.0
2023.07.19 62-23-04_1/5_485.frame,1,1,960,600,52,239,135.298109375,133.0
2023.07.19 62-23-04_1/3_845.frame,1,1,960,600,52,255,139.5958107638889,137.0
2023.07.19 62-23-04_1/t9_dist_2_frame_030-test.frame,1,1,960,600,6,255,108.37547048611111,111.0
2023.07.19 62-23-04_1/3_837.frame,1,1,960,600,70,255,137.83828125,136.0
2023.07.19 62-23-04_1/3_464.frame,1,1,960,600,55,255,136.40832465277776,134.0
2023.07.19 62-23-04_1/0_140.frame,1,1,960,600,54,237,153.41801388888888,155.0
2023.07.19 62-23-04_1/0_176.frame,1,1,960,600,80,233,153.11876388888888,154.0
2023.07.19 62-23-04_1/0_227.frame,1,1,960,600,78,230,149.3720434027778,151.0
2023.07.19 62-23-04_1/4_375.frame,1,1,960,600,22,255,121.307890625,124.0
2023.07.19 62-23-04_1/0_392.frame,1,1,960,600,42,255,145.92349131944445,150.0
2023.07.19 62-23-04_1/0_732.frame,1,1,960,600,58,238,150.9862222222222,152.0
2023.07.19 62-23-04_1/1_224.frame,1,1,960,600,69,235,149.19329340277778,149.0
2023.07.19 62-23-04_1/1_258.frame,1,1,960,600,70,250,148.99058159722222,149.0
2023.07.19 62-23-04_1/1_351.frame,1,1,960,600,55,240,151.858015625,152.0
2023.07.19 62-23-04_1/1_400.frame,1,1,960,600,67,255,146.90144097222222,146.0
2023.07.19 62-23-04_1/1_489.frame,1,1,960,600,55,248,150.08703125,150.0
2023.07.19 62-23-04_1/1_624.frame,1,1,960,600,30,255,139.912921875,144.0
2023.07.19 62-23-04_1/1_755.frame,1,1,960,600,54,241,151.20640451388888,152.0
2023.07.19 62-23-04_1/1_757.frame,1,1,960,600,49,255,149.02891840277778,149.0
2023.07.19 62-23-04_1/1_874.frame,1,1,960,600,67,246,149.26027083333332,149.0
2023.07.19 62-23-04_1/2_100.frame,1,1,960,600,58,241,141.0095746527778,139.0
2023.07.19 62-23-04_1/2_155.frame,1,1,960,600,59,231,148.94561631944444,147.0
2023.07.19 62-23-04_1/2_362.frame,1,1,960,600,49,255,146.12784895833335,144.0
2023.07.19 62-23-04_1/2_599.frame,1,1,960,600,72,232,148.60448958333333,147.0
2023.07.19 62-23-04_1/2_698.frame,1,1,960,600,49,239,149.42091319444444,147.0
2023.07.19 62-23-04_1/2_784.frame,1,1,960,600,63,255,148.85284027777777,147.0
2023.07.19 62-23-04_1/2_845.frame,1,1,960,600,59,238,148.51173090277777,147.0
2023.07.19 62-23-04_1/3_224.frame,1,1,960,600,54,255,137.810296875,136.0
2023.07.19 62-23-04_1/3_267.frame,1,1,960,600,48,255,137.49861458333334,136.0
2023.07.19 62-23-04_1/3_286.frame,1,1,960,600,30,255,133.6480642361111,131.0
2023.07.19 62-23-04_1/3_416.frame,1,1,960,600,43,255,136.39624131944444,134.0
2023.07.19 62-23-04_1/3_420.frame,1,1,960,600,42,255,139.76582638888888,138.0
2023.07.19 62-23-04_1/3_437.frame,1,1,960,600,48,255,136.320109375,134.0
2023.07.19 62-23-04_1/3_517.frame,1,1,960,600,60,255,135.32747743055555,133.0
2023.07.19 62-23-04_1/3_519.frame,1,1,960,600,48,255,138.59312847222222,137.0
2023.07.19 62-23-04_1/3_875.frame,1,1,960,600,43,255,139.27236805555555,138.0
2023.07.19 62-23-04_1/3_878.frame,1,1,960,600,44,255,133.62769270833334,131.0
2023.07.19 62-23-04_1/3_887.frame,1,1,960,600,70,255,137.21222743055554,135.0
2023.07.19 62-23-04_1/3_900.frame,1,1,960,600,24,255,116.00548263888889,116.0
2023.07.19 62-23-04_1/4_216.frame,1,1,960,600,27,217,119.96680208333333,120.0
2023.07.19 62-23-04_1/4_240.frame,1,1,960,600,46,209,127.13902256944445,126.0
2023.07.19 62-23-04_1/4_407.frame,1,1,960,600,46,212,127.68132118055556,127.0
2023.07.19 62-23-04_1/4_423.frame,1,1,960,600,44,207,130.15137152777777,130.0
2023.07.19 62-23-04_1/4_427.frame,1,1,960,600,38,218,129.19619444444444,128.0
2023.07.19 62-23-04_1/4_482.frame,1,1,960,600,49,210,127.69706597222222,127.0
2023.07.19 62-23-04_1/4_485.frame,1,1,960,600,47,229,127.00756597222222,126.0
2023.07.19 62-23-04_1/4_552.frame,1,1,960,600,41,255,126.56830729166667,126.0
2023.07.19 62-23-04_1/4_607.frame,1,1,960,600,20,255,119.76921701388889,126.0
2023.07.19 62-23-04_1/4_651.frame,1,1,960,600,42,211,128.73573611111112,128.0
2023.07.19 62-23-04_1/4_753.frame,1,1,960,600,51,213,127.40996527777777,127.0
2023.07.19 62-23-04_1/4_762.frame,1,1,960,600,48,218,128.97533680555554,128.0
2023.07.19 62-23-04_1/4_892.frame,1,1,960,600,52,212,126.47037152777777,126.0
2023.07.19 62-23-04_1/5_189.frame,1,1,960,600,47,253,145.61730381944443,144.0
2023.07.19 62-23-04_1/5_413.frame,1,1,960,600,69,223,144.11665104166667,143.0
2023.07.19 62-23-04_1/5_464.frame,1,1,960,600,71,247,143.68428819444443,142.0
2023.07.19 62-23-04_1/5_835.frame,1,1,960,600,48,255,148.74649652777777,148.0
2023.07.19 62-23-04_1/t10_dist_2_frame_371.frame,1,1,960,600,4,219,87.46011284722222,90.0
2023.09.07 13-09-28 78-23-04_1/1_776.frame,1,1,960,600,61,255,156.0743576388889,156.0
2023.09.07 13-09-28 78-23-04_1/1_340.frame,1,1,960,600,72,255,154.5973767361111,155.0
2023.09.07 13-09-28 78-23-04_1/1_823.frame,1,1,960,600,70,245,155.7592361111111,156.0
2023.09.07 13-09-28 78-23-04_1/1_824.frame,1,1,960,600,66,255,154.1725763888889,154.0
2023.09.07 13-09-28 78-23-04_1/1_331.frame,1,1,960,600,72,236,154.28200694444445,154.0
2023.09.07 13-09-28 78-23-04_1/1_388.frame,1,1,960,600,65,255,156.27266493055555,156.0
2023.09.07 13-09-28 78-23-04_1/1_374.frame,1,1,960,600,73,244,154.78388541666666,154.0
2023.09.07 13-09-28 78-23-04_1/1_480.frame,1,1,960,600,61,255,154.57731770833334,154.0
2023.09.07 13-09-28 78-23-04_1/1_488.frame,1,1,960,600,71,234,155.41125520833333,155.0
2023.09.07 13-09-28 78-23-04_1/1_755.frame,1,1,960,600,47,255,148.19444444444446,148.0
2023.09.07 13-09-28 78-23-04_1/1_496.frame,1,1,960,600,56,255,153.43255729166665,153.0
2023.09.07 13-09-28 78-23-04_1/1_771.frame,1,1,960,600,61,255,155.90480555555555,156.0
2023.09.07 13-09-28 78-23-04_1/1_523.frame,1,1,960,600,45,255,154.58959375,154.0
2023.09.07 13-09-28 78-23-04_1/1_532.frame,1,1,960,600,57,240,154.6180659722222,154.0
2023.09.07 13-09-28 78-23-04_1/1_537.frame,1,1,960,600,62,252,154.35086284722223,154.0
2023.09.07 13-09-28 78-23-04_1/1_770.frame,1,1,960,600,46,237,153.094671875,153.0
2023.09.07 13-09-28 78-23-04_1/1_563.frame,1,1,960,600,60,255,154.251265625,154.0
2023.09.07 13-09-28 78-23-04_1/1_849.frame,1,1,960,600,69,236,155.60746875,156.0
2023.09.07 13-09-28 78-23-04_1/1_597.frame,1,1,960,600,69,239,154.3159826388889,154.0
2023.09.07 13-09-28 78-23-04_1/1_628.frame,1,1,960,600,69,238,151.60898958333334,152.0
2023.09.07 13-09-28 78-23-04_1/1_648.frame,1,1,960,600,71,237,154.95637326388888,155.0
2023.09.07 13-09-28 78-23-04_1/1_663.frame,1,1,960,600,69,255,156.14668576388888,156.0
2023.09.07 13-09-28 78-23-04_1/1_677.frame,1,1,960,600,70,233,153.50062673611112,154.0
2023.09.07 13-09-28 78-23-04_1/1_678.frame,1,1,960,600,71,239,156.63058854166667,157.0
2023.09.07 13-09-28 78-23-04_1/1_686.frame,1,1,960,600,72,241,156.01966493055556,156.0
2023.09.07 13-09-28 78-23-04_1/1_700.frame,1,1,960,600,69,239,154.25588715277777,154.0
2023.09.07 13-09-28 78-23-04_1/1_717.frame,1,1,960,600,61,239,154.1386232638889,154.0
2023.09.07 13-09-28 78-23-04_1/1_720.frame,1,1,960,600,68,255,155.82920659722222,156.0
2023.09.07 13-09-28 78-23-04_1/1_745.frame,1,1,960,600,73,241,155.64275,156.0
2023.09.07 13-09-28 78-23-04_1/1_872.frame,1,1,960,600,62,255,152.5993784722222,152.0
2023.09.07 13-09-28 78-23-04_1/2_101.frame,1,1,960,600,56,250,146.92114583333333,145.0
2023.09.07 13-09-28 78-23-04_1/2_114.frame,1,1,960,600,67,255,146.33401215277777,145.0
2023.09.07 13-09-28 78-23-04_1/2_115.frame,1,1,960,600,49,245,145.994015625,144.0
2023.09.07 13-09-28 78-23-04_1/2_137.frame,1,1,960,600,53,240,148.67847916666668,147.0
2023.09.07 13-09-28 78-23-04_1/2_156.frame,1,1,960,600,83,255,150.10442708333332,148.0
2023.09.07 13-09-28 78-23-04_1/2_181.frame,1,1,960,600,80,255,149.07194618055556,147.0
2023.09.07 13-09-28 78-23-04_1/2_184.frame,1,1,960,600,57,255,150.59716493055555,148.0
2023.09.07 13-09-28 78-23-04_1/2_187.frame,1,1,960,600,41,255,147.03793402777777,145.0
2023.09.07 13-09-28 78-23-04_1/2_208.frame,1,1,960,600,55,233,147.31128993055555,146.0
2023.09.07 13-09-28 78-23-04_1/2_219.frame,1,1,960,600,65,245,151.30119444444443,150.0
2023.09.07 13-09-28 78-23-04_1/2_242.frame,1,1,960,600,77,251,150.53467361111112,148.0
2023.09.07 13-09-28 78-23-04_1/2_266.frame,1,1,960,600,64,236,152.06083159722223,150.0
2023.09.07 13-09-28 78-23-04_1/2_290.frame,1,1,960,600,78,240,152.05777430555557,150.0
2023.09.07 13-09-28 78-23-04_1/2_292.frame,1,1,960,600,53,255,152.58338541666666,151.0
2023.09.07 13-09-28 78-23-04_1/2_296.frame,1,1,960,600,89,239,152.36619791666666,150.0
2023.09.07 13-09-28 78-23-04_1/2_305.frame,1,1,960,600,91,238,150.21879166666668,148.0
2023.09.07 13-09-28 78-23-04_1/2_313.frame,1,1,960,600,48,242,147.97074479166668,146.0
2023.09.07 13-09-28 78-23-04_1/2_379.frame,1,1,960,600,44,244,150.43018055555555,148.0
2023.09.07 13-09-28 78-23-04_1/2_381.frame,1,1,960,600,64,255,153.98764756944445,152.0
2023.09.07 13-09-28 78-23-04_1/2_392.frame,1,1,960,600,67,247,152.7487638888889,151.0
2023.09.07 13-09-28 78-23-04_1/2_401.frame,1,1,960,600,47,255,153.31368055555555,152.0
2023.09.07 13-09-28 78-23-04_1/2_411.frame,1,1,960,600,76,249,152.07708506944445,150.0
2023.09.07 13-09-28 78-23-04_1/2_415.frame,1,1,960,600,80,255,150.61377256944445,148.0
2023.09.07 13-09-28 78-23-04_1/0_103.frame,1,1,960,600,66,249,142.50311631944444,141.0
2023.09.07 13-09-28 78-23-04_1/2_438.frame,1,1,960,600,79,255,153.22101215277777,151.0
2023.09.07 13-09-28 78-23-04_1/2_458.frame,1,1,960,600,89,242,151.51134375,149.0
2023.09.07 13-09-28 78-23-04_1/2_501.frame,1,1,960,600,35,255,152.06589930555555,150.0
2023.09.07 13-09-28 78-23-04_1/2_531.frame,1,1,960,600,76,255,150.80310416666666,149.0
2023.09.07 13-09-28 78-23-04_1/2_540.frame,1,1,960,600,61,240,144.97817708333332,143.0
2023.09.07 13-09-28 78-23-04_1/2_616.frame,1,1,960,600,75,238,151.4739548611111,150.0
2023.09.07 13-09-28 78-23-04_1/2_620.frame,1,1,960,600,81,234,150.9689409722222,149.0
2023.09.07 13-09-28 78-23-04_1/2_625.frame,1,1,960,600,82,255,150.0779357638889,148.0
2023.09.07 13-09-28 78-23-04_1/2_626.frame,1,1,960,600,55,241,151.66150173611112,150.0
2023.09.07 13-09-28 78-23-04_1/2_628.frame,1,1,960,600,85,255,152.3258420138889,151.0
2023.09.07 13-09-28 78-23-04_1/2_642.frame,1,1,960,600,75,255,150.76193055555555,149.0
2023.09.07 13-09-28 78-23-04_1/2_646.frame,1,1,960,600,62,255,153.45787152777777,151.0
2023.09.07 13-09-28 78-23-04_1/2_673.frame,1,1,960,600,73,237,153.50918055555556,152.0
2023.09.07 13-09-28 78-23-04_1/2_705.frame,1,1,960,600,81,251,152.7761840277778,151.0
2023.09.07 13-09-28 78-23-04_1/2_725.frame,1,1,960,600,78,237,151.96371527777777,150.0
2023.09.07 13-09-28 78-23-04_1/2_730.frame,1,1,960,600,91,244,149.73614756944446,147.0
2023.09.07 13-09-28 78-23-04_1/2_784.frame,1,1,960,600,70,231,151.7656736111111,150.0
2023.09.07 13-09-28 78-23-04_1/2_811.frame,1,1,960,600,64,255,151.84864583333334,150.0
2023.09.07 13-09-28 78-23-04_1/2_817.frame,1,1,960,600,80,236,148.38580555555555,146.0
2023.09.07 13-09-28 78-23-04_1/2_827.frame,1,1,960,600,60,255,151.23722222222221,149.0
2023.09.07 13-09-28 78-23-04_1/2_839.frame,1,1,960,600,65,247,154.1200017361111,152.0
2023.09.07 13-09-28 78-23-04_1/2_847.frame,1,1,960,600,63,246,152.61608159722223,151.0
2023.09.07 13-09-28 78-23-04_1/2_853.frame,1,1,960,600,85,246,153.83699479166665,152.0
2023.09.07 13-09-28 78-23-04_1/2_855.frame,1,1,960,600,81,255,152.69666145833332,151.0
2023.09.07 13-09-28 78-23-04_1/2_857.frame,1,1,960,600,44,245,145.95897395833333,143.0
2023.09.07 13-09-28 78-23-04_1/2_858.frame,1,1,960,600,46,255,151.98858854166667,150.0
2023.09.07 13-09-28 78-23-04_1/2_859.frame,1,1,960,600,66,244,150.82210243055556,149.0
2023.09.07 13-09-28 78-23-04_1/2_860.frame,1,1,960,600,58,255,152.13880902777777,150.0
2023.09.07 13-09-28 78-23-04_1/2_863.frame,1,1,960,600,71,255,151.15940625,149.0
2023.09.07 13-09-28 78-23-04_1/2_885.frame,1,1,960,600,65,255,151.31171006944444,149.0
2023.09.07 13-09-28 78-23-04_1/3_105.frame,1,1,960,600,73,255,138.19414409722222,136.0
2023.09.07 13-09-28 78-23-04_1/3_123.frame,1,1,960,600,82,255,139.64569791666668,138.0
2023.09.07 13-09-28 78-23-04_1/3_126.frame,1,1,960,600,44,255,125.17163888888889,121.0
2023.09.07 13-09-28 78-23-04_1/3_133.frame,1,1,960,600,75,255,137.68353819444445,135.0
2023.09.07 13-09-28 78-23-04_1/3_135.frame,1,1,960,600,61,255,138.9210451388889,137.0
2023.09.07 13-09-28 78-23-04_1/3_143.frame,1,1,960,600,57,255,141.51021875,139.0
2023.09.07 13-09-28 78-23-04_1/3_144.frame,1,1,960,600,58,255,140.81063368055555,138.0
2023.09.07 13-09-28 78-23-04_1/3_147.frame,1,1,960,600,80,255,139.47390104166666,137.0
2023.09.07 13-09-28 78-23-04_1/3_150.frame,1,1,960,600,64,255,138.67943576388888,136.0
2023.09.07 13-09-28 78-23-04_1/3_151.frame,1,1,960,600,42,255,138.5643142361111,136.0
2023.09.07 13-09-28 78-23-04_1/3_160.frame,1,1,960,600,70,255,138.04073090277777,136.0
2023.09.07 13-09-28 78-23-04_1/3_163.frame,1,1,960,600,68,255,141.83207638888888,139.0
2023.09.07 13-09-28 78-23-04_1/3_166.frame,1,1,960,600,63,255,141.78797395833334,139.0
2023.09.07 13-09-28 78-23-04_1/3_170.frame,1,1,960,600,65,255,141.80057118055555,139.0
2023.09.07 13-09-28 78-23-04_1/3_176.frame,1,1,960,600,62,255,140.0087465277778,137.0
2023.09.07 13-09-28 78-23-04_1/3_188.frame,1,1,960,600,53,255,137.34871875,134.0
2023.09.07 13-09-28 78-23-04_1/3_200.frame,1,1,960,600,58,255,141.94348958333333,139.0
2023.09.07 13-09-28 78-23-04_1/3_204.frame,1,1,960,600,75,255,140.86161805555557,138.0
2023.09.07 13-09-28 78-23-04_1/3_209.frame,1,1,960,600,78,255,138.703203125,136.0
2023.09.07 13-09-28 78-23-04_1/3_220.frame,1,1,960,600,33,255,140.97789236111112,139.0
2023.09.07 13-09-28 78-23-04_1/3_235.frame,1,1,960,600,69,255,138.730171875,135.0
2023.09.07 13-09-28 78-23-04_1/3_259.frame,1,1,960,600,60,255,142.66607118055555,140.0
2023.09.07 13-09-28 78-23-04_1/3_274.frame,1,1,960,600,75,255,141.140203125,138.0
2023.09.07 13-09-28 78-23-04_1/3_295.frame,1,1,960,600,73,255,141.55327083333333,139.0
2023.09.07 13-09-28 78-23-04_1/3_298.frame,1,1,960,600,50,255,142.10923784722223,140.0
2023.09.07 13-09-28 78-23-04_1/3_301.frame,1,1,960,600,57,255,141.38825347222223,139.0
2023.09.07 13-09-28 78-23-04_1/3_319.frame,1,1,960,600,59,255,140.17193229166668,138.0
2023.09.07 13-09-28 78-23-04_1/3_339.frame,1,1,960,600,40,255,140.91565625,138.0
2023.09.07 13-09-28 78-23-04_1/3_408.frame,1,1,960,600,61,255,142.52751041666667,140.0
2023.09.07 13-09-28 78-23-04_1/3_422.frame,1,1,960,600,67,255,141.11900694444444,139.0
2023.09.07 13-09-28 78-23-04_1/3_423.frame,1,1,960,600,79,255,142.26371701388888,140.0
2023.09.07 13-09-28 78-23-04_1/3_429.frame,1,1,960,600,47,255,141.73274479166668,140.0
2023.09.07 13-09-28 78-23-04_1/3_444.frame,1,1,960,600,82,255,140.8211736111111,138.0
2023.09.07 13-09-28 78-23-04_1/3_462.frame,1,1,960,600,44,255,140.1903454861111,138.0
2023.09.07 13-09-28 78-23-04_1/3_478.frame,1,1,960,600,69,255,141.691359375,139.0
2023.09.07 13-09-28 78-23-04_1/3_480.frame,1,1,960,600,48,255,140.60634375,138.0
2023.09.07 13-09-28 78-23-04_1/3_500.frame,1,1,960,600,32,255,141.11924131944446,139.0
2023.09.07 13-09-28 78-23-04_1/3_514.frame,1,1,960,600,39,255,142.96455034722223,141.0
2023.09.07 13-09-28 78-23-04_1/3_528.frame,1,1,960,600,56,255,139.25491666666667,137.0
2023.09.07 13-09-28 78-23-04_1/3_532.frame,1,1,960,600,38,255,140.487796875,139.0
2023.09.07 13-09-28 78-23-04_1/3_536.frame,1,1,960,600,25,255,139.63714930555557,137.0
2023.09.07 13-09-28 78-23-04_1/3_540.frame,1,1,960,600,81,255,140.58406770833332,138.0
2023.09.07 13-09-28 78-23-04_1/3_558.frame,1,1,960,600,68,255,141.01845833333334,139.0
2023.09.07 13-09-28 78-23-04_1/3_598.frame,1,1,960,600,60,255,139.9980138888889,138.0
2023.09.07 13-09-28 78-23-04_1/3_601.frame,1,1,960,600,71,255,141.98210069444445,139.0
2023.09.07 13-09-28 78-23-04_1/3_602.frame,1,1,960,600,64,255,142.1116232638889,140.0
2023.09.07 13-09-28 78-23-04_1/3_648.frame,1,1,960,600,76,255,143.12074652777778,140.0
2023.09.07 13-09-28 78-23-04_1/3_655.frame,1,1,960,600,72,255,140.13305729166666,138.0
2023.09.07 13-09-28 78-23-04_1/3_660.frame,1,1,960,600,78,255,141.67993923611112,140.0
2023.09.07 13-09-28 78-23-04_1/3_668.frame,1,1,960,600,51,255,140.2198888888889,138.0
2023.09.07 13-09-28 78-23-04_1/3_680.frame,1,1,960,600,85,255,142.67080729166668,141.0
2023.09.07 13-09-28 78-23-04_1/3_688.frame,1,1,960,600,65,255,141.46908680555555,139.0
2023.09.07 13-09-28 78-23-04_1/3_702.frame,1,1,960,600,48,255,142.46990277777778,140.0
2023.09.07 13-09-28 78-23-04_1/3_720.frame,1,1,960,600,64,255,140.745203125,138.0
2023.09.07 13-09-28 78-23-04_1/3_738.frame,1,1,960,600,63,255,140.4711423611111,138.0
2023.09.07 13-09-28 78-23-04_1/3_746.frame,1,1,960,600,82,255,139.10594444444445,137.0
2023.09.07 13-09-28 78-23-04_1/3_753.frame,1,1,960,600,53,255,141.22402083333333,138.0
2023.09.07 13-09-28 78-23-04_1/3_786.frame,1,1,960,600,69,255,139.86874305555557,137.0
2023.09.07 13-09-28 78-23-04_1/3_791.frame,1,1,960,600,39,255,138.47385243055555,135.0
2023.09.07 13-09-28 78-23-04_1/3_813.frame,1,1,960,600,48,255,141.65673784722222,139.0
2023.09.07 13-09-28 78-23-04_1/3_827.frame,1,1,960,600,56,255,142.9511388888889,140.0
2023.09.07 13-09-28 78-23-04_1/3_829.frame,1,1,960,600,79,255,140.64519791666666,138.0
2023.09.07 13-09-28 78-23-04_1/3_841.frame,1,1,960,600,41,255,143.12432638888887,141.0
2023.09.07 13-09-28 78-23-04_1/3_846.frame,1,1,960,600,69,255,141.57132291666667,139.0
2023.09.07 13-09-28 78-23-04_1/3_849.frame,1,1,960,600,69,255,139.92778125,137.0
2023.09.07 13-09-28 78-23-04_1/3_855.frame,1,1,960,600,69,255,141.47563888888888,139.0
2023.09.07 13-09-28 78-23-04_1/3_863.frame,1,1,960,600,73,255,139.95399131944444,138.0
2023.09.07 13-09-28 78-23-04_1/3_864.frame,1,1,960,600,63,255,139.93403993055554,138.0
2023.09.07 13-09-28 78-23-04_1/3_865.frame,1,1,960,600,73,255,140.66329340277778,137.0
2023.09.07 13-09-28 78-23-04_1/3_877.frame,1,1,960,600,47,255,141.2542777777778,139.0
2023.09.07 13-09-28 78-23-04_1/3_879.frame,1,1,960,600,60,255,141.20543402777778,139.0
2023.09.07 13-09-28 78-23-04_1/3_893.frame,1,1,960,600,62,255,141.17526041666667,139.0
2023.09.07 13-09-28 78-23-04_1/3_895.frame,1,1,960,600,53,255,138.10718229166667,137.0
2023.09.07 13-09-28 78-23-04_1/4_135.frame,1,1,960,600,53,255,131.8788125,131.0
2023.09.07 13-09-28 78-23-04_1/4_139.frame,1,1,960,600,49,229,131.91834548611112,131.0
2023.09.07 13-09-28 78-23-04_1/0_862.frame,1,1,960,600,82,255,156.36996180555556,157.0
2023.09.07 13-09-28 78-23-04_1/0_860.frame,1,1,960,600,76,249,153.5378472222222,155.0
2023.09.07 13-09-28 78-23-04_1/0_865.frame,1,1,960,600,75,250,154.53843923611112,155.0
2023.09.07 13-09-28 78-23-04_1/0_871.frame,1,1,960,600,83,239,151.44828993055555,152.0
2023.09.07 13-09-28 78-23-04_1/4_184.frame,1,1,960,600,38,215,132.69847048611112,132.0
2023.09.07 13-09-28 78-23-04_1/0_211.frame,1,1,960,600,83,251,155.33264930555555,156.0
2023.09.07 13-09-28 78-23-04_1/0_137.frame,1,1,960,600,80,239,152.36741666666666,154.0
2023.09.07 13-09-28 78-23-04_1/0_150.frame,1,1,960,600,85,255,155.26605034722223,156.0
2023.09.07 13-09-28 78-23-04_1/0_165.frame,1,1,960,600,81,249,155.286546875,157.0
2023.09.07 13-09-28 78-23-04_1/0_167.frame,1,1,960,600,79,237,154.22979513888887,155.0
2023.09.07 13-09-28 78-23-04_1/0_218.frame,1,1,960,600,62,255,156.32100347222223,158.0
